AMO Normalized to period: 1856-2023 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1920  -0.4856  -0.4320  -0.4912  -0.3801  -0.3173  -0.3618  -0.3660  -0.3949  -0.3699  -0.3362  -0.4567  -0.3455
1921  -0.3116  -0.3000  -0.3542  -0.3071  -0.3123  -0.3258  -0.1960  -0.3349  -0.3159  -0.1212  -0.2887  -0.1605
1922  -0.2236  -0.2650  -0.3742  -0.4501  -0.3773  -0.4058  -0.4610  -0.3949  -0.4559  -0.3502  -0.3747  -0.3615
1923  -0.3796  -0.4810  -0.4352  -0.4661  -0.3373  -0.3858  -0.4040  -0.5089  -0.4539  -0.3252  -0.2367  -0.0955
1924  -0.1446  -0.2170  -0.1322  -0.0911  -0.0083  -0.1668  -0.2060  -0.2179  -0.2869  -0.2942  -0.3347  -0.3185
1925  -0.3366  -0.3260  -0.2642  -0.2111  -0.1293  -0.2568  -0.2220  -0.2099  -0.1999  -0.1422  -0.1887   0.0175
1926   0.0254   0.0940   0.0238   0.0789   0.0767   0.0032   0.0660  -0.0239  -0.0359   0.1238   0.0123   0.0625
1927   0.0744   0.0660   0.0188   0.0409   0.1447   0.0912   0.0830   0.0841   0.0291   0.1218   0.1253  -0.0485
1928  -0.0496  -0.1020  -0.1122  -0.1231  -0.0273   0.0072   0.0160   0.0311   0.0151  -0.0062  -0.0597  -0.1115
1929  -0.0886  -0.1050  -0.1052  -0.0371  -0.1513  -0.2488  -0.2460  -0.2219  -0.1339  -0.0992  -0.1197  -0.2045
1930  -0.1206  -0.1770  -0.1072  -0.2291  -0.1493  -0.1338  -0.0040   0.0041   0.2211   0.1598   0.1503   0.1275
1931   0.1194   0.0670   0.1378   0.1349   0.1897   0.2172   0.1330   0.0891   0.2001   0.2798   0.0583   0.1585
1932   0.1844   0.2340   0.2408   0.1989   0.1217   0.1962   0.2130   0.3281   0.2751   0.2018   0.1403   0.0855
1933   0.0994   0.1630   0.0868   0.2009   0.2617   0.1982   0.2240   0.2251   0.1851   0.2968   0.0853  -0.0055
1934  -0.0976  -0.1800  -0.2122  -0.1011  -0.1393  -0.0088   0.1180   0.0261   0.0871   0.1398   0.0253  -0.0095
1935   0.0584  -0.1230  -0.1482   0.0499   0.1167   0.0692   0.0130  -0.0459  -0.0899  -0.0462   0.0313   0.0985
1936   0.1564   0.1600   0.1978   0.1939   0.1457   0.1552   0.1470   0.1651   0.1231   0.0778   0.0333   0.0485
1937   0.0764   0.1030   0.1048   0.0699   0.1117   0.4152   0.5660   0.5451   0.4591   0.2738   0.2723   0.3565
1938   0.2354   0.1710   0.2088   0.2399   0.1867   0.1362   0.1620   0.2551   0.2641   0.3338   0.3373   0.2245
1939   0.1614   0.1010  -0.0202   0.1009   0.0917   0.1482   0.2860   0.2821   0.2571  -0.0072  -0.1307  -0.0705
1940   0.0914  -0.1680  -0.1292  -0.0241  -0.0093  -0.0128   0.0600   0.0681  -0.0149  -0.0642  -0.1077  -0.1265
1941  -0.0296   0.1230   0.1488   0.0759   0.0297  -0.0428   0.0550   0.2441   0.2681   0.4038   0.4203   0.3415
1942   0.1704   0.2300   0.2128   0.2189   0.2037   0.2392   0.0700   0.1141   0.1901   0.1938   0.2273   0.1095
1943   0.1684   0.1310  -0.0792  -0.1181  -0.1253  -0.0928  -0.0110  -0.0119   0.0461   0.0738   0.1773   0.2485
1944   0.3424   0.3550   0.4498   0.3359   0.2937   0.3332   0.3370   0.4191   0.3911   0.3638   0.3093   0.2975
1945   0.3044   0.3900   0.3948   0.4359   0.3147   0.1632   0.0630   0.0851   0.0611   0.1038   0.2253   0.1655
