DMI Normalized to period: 1870-2024 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1926   0.1645  -0.1866   0.1153  -0.0624   0.1170   0.3400   0.0645   0.2784  -0.0418   0.2420  -0.2435  -0.2098
1927  -0.0325   0.2144  -0.0457  -0.2134  -0.0540   0.0250  -0.2795  -0.3266  -0.3008  -0.2450  -0.0405  -0.1658
1928  -0.2085  -0.1876  -0.1207  -0.1284  -0.0660  -0.2720  -0.3445  -0.6066  -0.5068  -0.3760   0.0405  -0.1598
1929  -0.1155  -0.1896  -0.0817  -0.0374  -0.1590  -0.0530  -0.0925  -0.2026   0.0582   0.0010  -0.0345   0.1882
1930  -0.2545  -0.3406  -0.1637  -0.0604  -0.2430   0.0550  -0.1095  -0.0456  -0.4388  -0.0600   0.3585   0.0982
1931   0.1115  -0.1616  -0.3917  -0.3404  -0.0560  -0.0870  -0.1175  -0.2176  -0.6468  -0.2400   0.0625  -0.5998
1932  -0.2575  -0.4076  -0.2817   0.0596  -0.1760  -0.2030   0.0505  -0.2046  -0.0398  -0.3720  -0.0675   0.1792
1933  -0.0205   0.0804   0.1953   0.3626  -0.1420  -0.1140  -0.1735  -0.3466  -1.2038  -0.6280  -0.3575  -0.2598
1934  -0.4425  -0.0786  -0.0097   0.0506   0.0020   0.1770  -0.0295   0.2724  -0.1338   0.0350   0.0915   0.0532
1935   0.1755   0.1174   0.2753  -0.0314   0.2650   0.2840   0.3475   0.2604   0.1162   0.0530   0.3655   0.2342
1936   0.2545  -0.2166  -0.0547   0.1156   0.0100   0.2570   0.2225  -0.1536  -0.0828  -0.3340   0.1835  -0.1058
1937   0.0555  -0.0586  -0.0997  -0.2174   0.2440  -0.1040  -0.2505   0.0324   0.2722   0.0530   0.1315   0.0742
1938   0.0845  -0.0446   0.1653  -0.1604   0.2180  -0.2150  -0.3255   0.1344  -0.0948  -0.2540  -0.4655  -0.3288
1939   0.0435   0.3814   0.1773  -0.0814  -0.1350   0.0150  -0.1095  -0.1756   0.0782   0.1670  -0.0725   0.1062
1940   0.2485  -0.0516  -0.3207  -0.3074  -0.2570   0.1650  -0.0685   0.0314  -0.0268  -0.1150  -0.0945  -0.1028
1941  -0.1935  -0.4466  -0.1047  -0.0924  -0.0670  -0.1830  -0.1335  -0.1346   0.0302   0.1680   0.5205   0.0302
1942  -0.0255  -0.1256  -0.0937  -0.2254  -0.3970  -0.7510  -0.4015  -0.8156  -0.5828  -0.2310  -0.3515  -0.3468
1943  -0.3215  -0.0756  -0.1487  -0.0404   0.0140   0.3440   0.3905   0.3194  -0.2848  -0.1790  -0.1415  -0.1738
1944   0.0145   0.4194  -0.0207  -0.0564   0.4850   0.0790   0.3485   0.3354   0.3642  -0.2430  -0.0025   0.3912
1945   0.0285   0.2624   0.3613  -0.1454  -0.3700  -0.3700  -0.2285  -0.3716  -0.2308  -0.1560  -0.0775  -0.1158
1946   0.2365   0.1584  -0.0697  -0.3724   0.4990  -0.1370   0.1365   0.4494   0.2912   0.1790   0.2205  -0.0378
1947  -0.1195   0.2014   0.1563  -0.0014   0.3060   0.1270  -0.3375  -0.3746  -0.6068  -0.4670  -0.0725  -0.0528
1948  -0.1295   0.0174   0.1803   0.0816   0.1170   0.2520   0.0275  -0.1776  -0.2848   0.0650  -0.1325  -0.2938
1949   0.1955   0.3494   0.0353   0.3496   0.1110   0.1840   0.2865   0.2954   0.2732   0.2330  -0.1495  -0.1188
1950   0.1245  -0.3816  -0.5357  -0.2904  -0.1070  -0.3010  -0.0525   0.0644  -0.2678  -0.2330   0.0195   0.1852
1951   0.4245   0.3834   0.4153  -0.3284   0.0640   0.0030   0.0755   0.4084   0.3582   0.1890   0.3695   0.1392
1952   0.0995   0.2524   0.2823   0.2576   0.0540   0.2130  -0.1345  -0.1786  -0.2438  -0.1890   0.0755   0.1822
1953   0.4725   0.4574   0.3443   0.1306   0.5180   0.0800   0.1175   0.0534   0.1232   0.0450   0.1105   0.0932
